farm code,region code,sub region code,holding type code,LATITUDE_coded,LONGITUDE_code,HOLDER LEGAL STATUS CODE,profession code,educational level code,tenure code,soil salinity group code,soil type code,Permanent Employees,Temporary Employees,Holding Area_coded,resting areas_coded,buildings_coded,Wind bumpers_coded,Fruit tree crops_coded,Protected vegetable crops_coded,vegetable crops_coded,Fruit waste %,Plastic houses waste %,Exposed Vegetable  waste %
1,B,27,B,24.56339,55.72543,E,B,B,D,A,B,3,0,15.22989,0.99567,0.19422,0,3.51,0,5.85,0.218346239,0,0.231521007
2,B,27,B,24.56458825,55.72898409,E,B,A,D,A,B,3,0,29.70981,17.63424,0.14157,0,7.254,0,0,0.222957156,0,0
3,B,27,B,24.56526833,55.724215,E,B,A,D,A,B,2,0,11.00034,1.22382,0.18252,0,3.744,0,0,0.145322786,0,0
4,B,15,B,24.71778667,55.79027333,E,A,A,D,A,B,3,0,16.08048,0,0.117,0,10.062,0,1.17,0.257949942,0,0.296803073
5,B,27,B,24.56874167,55.73189,E,B,A,D,A,B,4,0,22.67694,13.05252,0.26442,0,4.68,0,0,0.288370226,0,0
6,B,41,B,24.4898,55.63517833,E,B,B,D,A,B,2,0,39.18096,33.16014,0.17082,0,5.85,0,0,0.317306224,0,0
7,B,41,B,24.47693667,55.620715,E,B,D,D,A,B,1,0,39.18096,34.61679,0.23517,0,4.329,0,0,0.236024276,0,0
8,B,41,B,24.4871932,55.64965787,E,B,E,D,A,B,5,0,39.18096,29.28744,0.53352,0,9.36,0,0,0.102624667,0,0
9,B,48,A,24.51420667,55.59479833,E,B,B,D,A,B,2,0,39.19968,20.93481,0.11232,0,13.47255,0,0,0.342832028,0,0
10,B,41,B,24.51904167,55.64981,E,B,C,D,A,B,1,0,29.53782,17.55,0.28782,0,9.36,0,0,0.240037703,0,0
11,B,27,B,24.564615,55.70737,E,B,A,D,B,B,1,0,23.69133,18.36081,0.18252,0,5.148,0,0,0.19499107,0,0
12,B,48,B,24.513805,55.59104833,E,B,D,D,A,B,4,0,39.19968,12.4137,0.16848,0,26.6175,0,0,0.149352279,0,0
13,B,48,A,24.521225,55.58388,E,B,D,D,A,B,3,0,39.16692,29.8584,1.70352,0,2.925,0,0,0.292358238,0,0
14,B,48,B,24.52124167,55.582005,E,A,D,D,A,B,2,0,39.16692,25.0614,0.18252,0,6.903,0,2.34,0.332122181,0,0.361747482
15,B,48,B,24.52208167,55.59359833,E,B,C,D,A,B,2,0,39.16692,25.5294,0.18252,0,8.775,0,0,0.161750283,0,0
16,B,41,B,24.51058833,55.642265,E,B,C,D,A,B,2,0,39.17862,15.21,0.56862,0,23.4,0,0,0.363333184,0,0
17,B,48,B,24.52085667,55.59429333,E,B,C,D,A,B,3,0,39.16692,16.68186,0.19656,0,5.9085,0,0,0.311078117,0,0
18,B,27,B,24.56717,55.72838167,E,B,A,D,A,B,4,0,22.08375,3.16953,0.19422,0,9.36,0,0,0.400520823,0,0
19,B,48,B,24.52340833,55.58766167,E,B,D,D,A,B,1,0,39.16692,25.42995,0.17433,0.04914,4.1535,0,7.02,0.342800219,0,0.397744466
20,B,48,B,24.51035333,55.52292,E,B,A,D,A,B,1,0,39.16809,21.89304,0.14508,0.01872,12.43125,0,0,0.290767744,0,0
21,B,41,B,24.51279833,55.62229833,E,B,B,D,A,B,1,0,39.18096,27.27504,0.20592,0,11.7,0,0,0.30865497,0,0
22,B,3,B,23.88603833,55.366945,E,B,A,D,B,B,2,0,39.18213,28.34208,0.31005,0,10.53,0,0,0.204527038,0,0
23,B,3,B,23.88600833,55.36384167,E,B,C,D,B,B,1,0,39.18213,28.2321,0.42003,1.17,9.36,0,0,0.195435021,0,0
24,B,3,A,23.88752167,55.36432,E,B,D,D,B,B,4,0,39.18213,20.24802,1.38411,0,12.87,0,0,0.309996321,0,0
25,B,3,B,23.892175,55.36219333,E,B,B,D,B,B,1,0,39.18213,30.58731,0.40482,1.17,7.02,0,0,0.189177632,0,0
26,B,18,B,23.8018,55.49791667,E,B,D,D,B,B,2,0,39.18213,13.59657,0.43056,0,20.475,0,0,0.290695137,0,0
27,C,38,B,23.28534167,53.75157333,E,B,G,D,A,B,2,0,46.8,0,0.25038,5.265,31.92462,0,0,0.323157679,0,0
28,C,34,A,22.99427667,54.11117333,E,B,A,D,B,B,4,0,27.03168,-6.36012,3.861,0.1521,16.5087,2.34,10.53,0.106678697,0.071212309,0.226764262
29,B,3,A,23.88941833,55.36384667,E,B,A,D,B,B,2,0,39.18213,18.52344,1.93869,2.34,14.04,0,0,0.186455757,0,0
30,C,1,A,22.91569667,53.32449333,E,B,C,D,B,B,2,0,27.03168,0.351,0.234234,6.93459,12.285,0,0.585,0.147176364,0,0.302478372
31,B,3,A,23.89425,55.36168833,E,B,A,D,B,B,1,1,39.18213,18.75159,0.54054,0,15.21,0,0,0.402666989,0,0
32,B,3,B,23.89760333,55.36078833,E,B,A,D,B,B,2,0,39.18213,10.67391,0.42822,0,23.4,0,0,0.263569814,0,0
33,B,18,A,23.79722833,55.43539167,E,B,A,D,B,B,1,0,39.18213,12.8466,0.59553,0,19.89,0,1.17,0.152597609,0,0.165063047
34,B,3,B,23.90032833,55.36085167,E,B,A,D,B,B,0,1,39.18213,10.87281,0.22932,0,23.4,0,0,0.247334992,0,0
35,C,45,B,23.12169667,53.716395,E,B,G,D,B,B,4,0,46.8,-7.02,0.34983,2.34,44.11017,0,0,0.33716731,0,0
36,B,41,A,24.54289833,55.68578333,E,B,G,D,A,B,1,0,69.64308,39.78,0.61308,0,25.74,0,0,0.322005038,0,0
37,B,3,A,23.901355,55.35982833,E,B,B,D,B,B,4,0,39.18213,10.01286,1.08927,0,23.4,0,2.34,0.097778703,0,0.217038198
38,B,3,A,23.90183167,55.359745,E,B,B,D,B,B,1,0,39.18213,17.19783,0.9243,0,16.38,0,0,0.3318754,0,0
39,C,38,A,23.19636833,53.76565667,E,B,A,D,B,B,3,0,46.8,0,1.17,3.8025,14.625,0,2.34,0.358239372,0,0.400426757
40,B,3,B,23.90485333,55.35680667,E,B,A,D,B,B,1,0,39.18213,25.05204,0.09009,0,14.04,0,0,0,0,0
41,C,38,A,23.19605167,53.76760167,E,B,A,D,A,B,2,0,46.8,26.2665,0.5265,0.117,17.55,0,0,0.224129476,0,0
42,C,38,A,23.19564,53.76342833,E,B,A,D,A,B,3,0,46.8,-0.117,0.702,0.585,43.29,0,0,0.372072568,0,0
43,C,38,B,23.19594167,53.76965333,E,A,B,D,A,B,12,0,46.8,-1.287,1.287,0,18.72,28.08,0,0.226930532,0.204380109,0
44,C,38,B,23.19545,53.76173,E,B,C,B,A,B,6,0,46.8,0,0.8775,1.17,28.3725,10.53,5.85,0.259096998,0.372535992,0.244018051
45,C,45,B,23.12604833,53.71985167,E,B,E,D,B,B,4,0,46.8,0,0.69849,1.3455,37.73601,0,1.755,0.250203168,0,0.242536311
46,C,34,B,22.985075,54.117195,E,B,A,D,B,B,2,0,27.03168,10.41768,0.234,0.8775,15.5025,0,0,0.073887644,0,0
47,C,33,B,23.07689333,53.56709333,E,B,A,D,B,B,2,0,26.325,14.3793,0.2106,1.4157,10.3194,0,0,0.193912316,0,0
48,B,18,B,23.79999833,55.49756167,E,B,A,D,B,B,3,0,39.18213,8.27658,0.48555,0,23.4,0,0,0.043418643,0,0
49,C,38,A,23.28417167,53.76148667,E,B,G,D,A,B,3,0,46.8,8.8686,0.4914,0,37.44,0,0,0.324875899,0,0
50,B,3,B,23.89186333,55.36226333,E,B,B,D,B,B,2,0,39.18213,19.02069,0.27144,1.17,14.04,0,0,0.295892763,0,0
51,C,33,B,23.075205,53.56543,E,B,G,D,B,B,1,0,26.325,12.08376,0.11232,0.02574,14.10318,0,0,0.172349338,0,0
52,C,1,B,22.95942167,53.37941,E,B,A,D,B,B,2,0,46.8,0,0.14742,9.95904,17.082,0,0.585,0.369032114,0,0.225358484
53,B,3,B,23.90290333,55.35738667,E,B,B,D,B,B,1,0,39.18213,25.506,0.80613,0,10.53,0,0,0.151958222,0,0
54,C,5,B,23.129615,53.94120333,E,B,C,D,A,B,2,0,46.8,7.6635,0.0585,0.468,38.61,0,0,0.2597719,0,0
55,C,38,B,23.19757667,53.76134167,E,B,D,D,A,B,2,0,46.8,3.2175,0.2925,4.68,38.61,0,0,0.255147171,0,0
56,B,41,B,24.52051667,55.66528,E,B,G,D,A,B,1,0,39.16224,28.08,0.55224,0,5.85,0,0,0.313403106,0,0
57,C,38,B,23.187355,53.7687,E,A,B,D,A,B,4,0,46.8,12.13875,0.84825,0.585,23.4,7.488,2.34,0.09091426,0.056195298,0.159774153
58,C,33,B,23.076615,53.56406,E,B,G,D,B,B,2,0,26.325,6.54264,0.12168,0,19.66068,0,0,0.254106061,0,0
59,C,34,B,22.983995,54.11639,E,B,B,D,B,B,2,0,27.03168,12.58218,0.351,2.0475,10.881,0,0.585,0,0,0.211598655
60,C,5,A,23.06159167,53.97637833,E,B,B,D,A,B,3,0,46.8,13.2444,0,0.7956,8.19,0,21.645,0.239137831,0,0.058270254
61,B,3,B,23.893835,55.35967333,E,B,A,D,B,B,1,0,39.18213,20.31471,0.14742,0,14.04,0,0,0.472103098,0,0
62,B,3,B,23.893405,55.35984333,E,B,A,D,B,B,1,0,39.18213,23.82237,0.14976,0,10.53,0,0,0.316943004,0,0
63,C,33,B,23.12231333,53.57532,E,B,D,D,B,B,2,0,46.8,9.945,1.755,2.34,28.08,0,0,0.13092306,0,0
64,C,33,A,23.07364667,53.57777167,E,B,A,D,B,B,2,0,46.8,5.85,1.17,2.34,32.76,0,0,0.207078149,0,0
65,C,1,B,22.95444,53.37942167,E,B,B,D,B,B,2,0,46.8,0,0.24687,4.54545,35.1,0,0,0.141452441,0,0
66,C,1,B,22.95597833,53.37940667,E,B,A,D,B,B,1,0,27.03168,0,0,6.25014,10.764,0,0,0.195894789,0,0
67,C,1,B,22.95276167,53.37924167,E,B,A,D,B,B,1,0,27.03168,0,0,0.30069,1.60524,0,0,0.252228437,0,0
68,C,5,B,23.09316833,53.89824667,E,B,A,D,B,B,1,0,54.37575,30.80961,0.0819,0.08424,23.4,0,0,0,0,0
69,C,5,B,23.09507167,53.89560833,E,A,G,D,B,B,1,0,16.18929,4.43781,0.05148,0,11.7,0,0,0.227101334,0,0
70,C,1,B,22.92126333,53.33177667,E,B,E,D,B,B,7,0,27.03168,0,1.020708,0,10.296,14.2272,0,0.014368066,0.120683444,0
71,C,5,B,23.09520833,53.89715,E,B,G,D,B,B,2,0,47.385,11.62512,0.40248,0.2574,35.1,0,0,0.054225707,0,0
72,C,38,B,23.29077667,53.75637167,B,B,A,D,A,B,3,0,46.8,0.8775,0.2925,0,29.25,0,16.38,0.259889438,0,0.217077629
73,C,1,B,22.945595,53.37676833,E,B,B,D,B,B,1,0,27.03168,0,0.14742,2.9952,12.87,0,0,0.248587453,0,0
74,A,6,A,24.17093,54.96896333,E,B,F,D,A,B,2,0,14.9526,7.3476,0,2.34,4.095,0,0,0.051076169,0,0
75,C,5,A,23.09401167,53.894985,E,B,C,D,B,B,2,0,46.8,3.69369,1.07055,1.08576,37.44,0,0,0.215045746,0,0
76,A,6,A,24.17313833,54.9676,E,B,C,D,A,B,2,0,25.00992,4.87422,1.4157,0,11.7,0,0,0.223978718,0,0
77,A,6,A,24.17496,54.97559333,E,B,G,D,A,B,3,0,22.88871,1.82871,1.17,0,14.04,0,0,0.272916363,0,0
78,B,41,B,24.50996333,55.62707667,E,A,A,D,B,B,1,0,49.400091,37.557351,0.14274,0,11.7,0,0,0.396171078,0,0
79,C,1,B,22.95080333,53.37751167,E,B,A,D,B,B,2,0,27.03168,0,0.26325,3.12858,9.9216,0,0,0.376177466,0,0
80,C,1,B,22.94940333,53.37722,E,B,A,D,B,B,1,0,23.52168,0,0.155025,3.2175,12.46869,0,0.8775,0.175381545,0,0.168130094
81,A,6,B,24.17427333,54.94696,E,B,C,D,A,B,0,0,27.03168,22.35168,0,0,4.68,0,0,0.195017463,0,0
82,C,5,B,23.099375,53.90103833,E,B,A,D,B,B,1,0,24.62733,12.41019,0.07722,0.43992,8.19,0,0,0.143426225,0,0
83,B,23,A,24.24274032,55.75166645,E,B,A,D,B,C,5,0,56.40102,4.68,3.51,0,31.83102,0,4.68,0.19016726,0,0.064774478
84,C,5,B,23.0996,53.89963833,E,B,G,D,B,B,1,0,22.0545,11.37942,0,0.14508,10.53,0,0,0.188240563,0,0
85,C,1,B,22.948655,53.375515,E,B,B,D,B,B,1,0,27.03168,0,0.170586,3.57318,11.466,0,0,0.060331238,0,0
86,C,5,B,23.099785,53.90059167,E,B,I,D,B,B,1,0,34.46469,24.94323,0.07722,0.08424,9.36,0,0,0.266039375,0,0
87,C,5,B,23.09759,53.90292,E,B,C,D,B,B,3,0,46.8,8.7984,0.1404,0.4212,37.44,0,0,0.35974385,0,0
88,B,41,B,24.49484333,55.63960167,E,B,G,D,A,B,1,0,43.0092,32.76,0.4095,0,5.85,0,2.34,0.483310697,0,0.372081917
89,B,41,B,24.51248,55.62635,E,B,E,D,A,B,2,0,39.078,24.66828,0.36972,0,14.04,0,0,0.201572354,0,0
90,B,41,B,24.48181333,55.56275167,E,B,G,D,A,B,2,0,39.16575,24.57,0.55575,0,11.7,0,0,0.366010023,0,0
91,B,41,B,24.511575,55.63047333,E,B,B,D,A,B,1,0,32.38443,21.19221,0.31122,0,6.201,0,0,0.008151481,0,0
92,B,41,A,24.47888,55.55718333,E,B,C,D,A,B,1,0,39.18096,32.76,1.17,2.34,2.34,0,0,0.335001231,0,0
93,B,41,B,24.50896333,55.62984167,E,B,A,D,A,B,1,0,51.92226,46.50984,0.26442,0,5.148,0,0,0,0,0
94,B,41,B,24.48468167,55.58128,E,B,A,D,A,B,0,0,19.2699,9.36,0.3159,0,9.36,0,0,0.118630218,0,0
95,C,1,B,22.90909667,53.31250333,E,B,A,D,B,B,1,0,27.03168,0,0.11466,3.98385,9.2196,0,0,0.032119094,0,0
96,B,41,B,24.51012833,55.63052667,E,B,A,D,A,B,5,0,32.19372,25.1433,0.26442,0,6.786,0,0,0.339661421,0,0
97,B,41,B,24.48462333,55.58116,E,B,G,D,A,B,1,0,217.5732,117.8307,0.2925,11.7,87.75,0,0,0.202792449,0,0
98,B,41,B,24.483985,55.62665833,E,B,E,D,A,B,2,0,39.18096,29.03004,0.20592,0,5.265,0,4.68,0.07899044,0,0.246640555
99,B,41,B,24.50831333,55.60313833,E,B,G,D,A,B,1,0,39.1716,21.06,0.5616,0,17.55,0,0,0.042804631,0,0
100,B,41,B,24.484205,55.62867167,E,B,H,D,A,B,3,0,39.18213,30.49371,0.26442,0,0,8.424,0,0,0.251157557,0
101,B,41,B,24.47886,55.62977167,E,B,E,D,A,B,3,0,39.18096,18.66384,1.79712,0,5.85,5.85,7.02,0.217957736,0.162724953,0.281296596
102,B,41,B,24.48136,55.63161667,E,B,G,D,A,B,1,0,39.18213,37.27386,0.20007,0,1.7082,0,0,0.359003537,0,0
103,B,41,B,24.49095333,55.64638667,E,B,G,D,A,B,2,0,39.18213,29.25351,0.56862,0,9.36,0,0,0.264153799,0,0
104,B,41,B,24.51300667,55.62377,E,B,E,D,A,B,1,0,39.18096,27.93024,0.25272,0,10.998,0,0,0.12409881,0,0
105,B,23,B,24.25272833,55.75612833,E,B,B,D,B,C,2,0,54.75366,23.93001,0.49608,0,30.32757,0,0,0.249875684,0,0
106,B,23,B,24.22699642,55.71984196,E,B,A,D,B,C,3,0,56.24658,0,0.117,0,56.12958,0,0,0.279001923,0,0
107,B,23,B,24.254585,55.75081833,E,B,A,D,B,C,2,0,12.93552,0,0.117,0,12.81852,0,0,0.148765921,0,0
108,B,23,B,24.25157167,55.75656,E,A,A,D,B,C,2,0,61.39224,27.11943,0.117,0.1287,15.30711,0,0,0.195252072,0,0
109,B,23,B,24.24809333,55.7580833,E,B,A,D,B,C,2,0,17.94429,0,1.17,0,16.77429,0,0,0.331610063,0,0
110,B,23,B,24.22699696,55.71984377,E,B,G,D,B,C,4,0,53.40582,0,0.1053,0,29.90052,0,11.7,0.366782589,0,0.408325446
111,B,41,B,24.53096,55.68831667,E,B,G,D,A,B,1,0,39.94497,31.59,0.16497,0,7.02,0,0,0.229501301,0,0
112,B,41,B,24.48959667,55.62683833,E,B,G,D,A,B,1,0,39.18096,34.32429,0.17667,0,4.68,0,0,0,0,0
113,B,41,B,24.511935,55.62551667,E,B,B,D,A,B,2,0,39.35295,32.15628,0.17667,0,7.02,0,0,0.156567212,0,0
114,B,41,B,24.48905833,55.6476,E,B,C,D,A,B,2,0,39.18096,27.25983,0.22113,0,11.7,0,0,0.209270767,0,0
115,B,23,B,24.25177167,55.75435,E,B,D,D,B,C,1,0,53.2818,39.897,1.3455,0,12.0393,0,0,0.161097803,0,0
116,B,23,B,24.22695335,55.71981218,E,B,A,D,B,C,3,0,53.62344,22.96944,6.5754,0,24.0786,0,0,0.166408557,0,0
117,B,23,B,24.24333168,55.7526679,E,B,C,D,B,C,7,0,63.78606,33.76386,0.234,0,11.817,8.6112,4.68,0.013106465,0.098944076,0.077301545
118,B,23,B,24.22699894,55.71985022,E,B,A,D,B,C,3,0,12.93552,0,0.0936,0,12.84192,0,0,0.274590621,0,0
119,B,27,B,24.491555,55.73416667,E,B,C,D,A,B,2,0,47.03985,31.65903,0.17082,0,8.19,0,0,0.128931613,0,0
120,B,41,B,24.48297333,55.58192,E,B,A,D,A,B,1,0,39.18213,30.38958,0.57213,0,8.19,0,0,0.228668702,0,0
121,B,41,B,24.49052667,55.63886667,E,B,A,D,A,B,1,0,39.18096,21.06,0.57096,0,8.19,0,8.19,0.553534415,0,0.232167481
122,B,41,B,24.48463833,55.64863,E,B,E,D,A,B,4,0,39.18096,12.87,0.57096,0,18.72,0,2.34,0.014350927,0,0.21270343
123,B,41,B,24.52135333,55.65804333,E,B,G,D,A,B,1,0,32.0931,21.06,0.5031,0,10.53,0,0,0.141671194,0,0
124,C,34,A,22.97588667,54.180305,E,B,E,D,A,B,2,0,27.03168,-2.06622,0.9945,2.34,13.4784,0,1.755,0.34861921,0,0.238796731
125,B,41,B,24.52120167,55.66694167,E,B,G,D,A,B,2,0,39.16341,25.74,0.55341,0,8.19,0,0,0.207595027,0,0
126,B,41,B,24.49355333,55.62846167,E,B,C,D,A,B,1,0,39.18213,35.23221,0.18252,0,3.7674,0,0,0.222329615,0,0
127,B,41,B,24.481925,55.617145,E,B,I,D,A,B,4,0,39.21021,34.31493,0.21528,0,4.68,0,0,0.397044811,0,0
128,B,41,B,24.48124833,55.61522,E,B,C,D,A,B,1,0,39.18096,31.90824,0.25272,0,7.02,0,0,0.377886531,0,0
129,A,9,A,24.60275833,54.799985,E,B,B,D,A,B,1,0,32.61726,9.36,0.6435,2.34,18.72,0,1.17,0.247540831,0,0.224659442
130,A,6,B,24.20612,54.69847667,E,B,C,D,A,B,1,0,32.60907,0,0.1755,1.404,8.19,0,0,0.147591543,0,0
131,A,6,B,24.20763833,54.69935333,E,B,D,D,A,B,2,0,32.60907,13.689,0.117,1.17,10.53,0,0,0.038960099,0,0
132,A,6,B,24.132425,55.00966333,E,B,C,D,B,B,8,0,21.06,12.87,0.117,2.106,4.095,0,0,0.348938335,0,0
133,B,41,B,24.52735,55.688605,E,B,A,D,A,B,10,0,39.16341,2.34,0.55341,0,10.53,17.55,4.68,0.06548431,0.039596007,0.284621549
134,A,6,B,24.17386667,55.01951167,E,B,B,D,B,B,2,0,24.49161,0,0.702,0.0585,8.19,0,0,0.294995218,0,0
135,B,41,B,24.51376167,55.62907667,E,B,A,D,A,B,2,0,31.9761,15.21,0.3861,0,16.38,0,0,0.310695974,0,0
136,A,6,B,24.1742,55.01991833,E,B,B,D,B,B,1,0,24.49161,0,0.351,0.9945,4.68,0,0,0.328090483,0,0
137,A,6,A,24.173275,55.02146333,E,B,B,D,B,B,1,0,24.49161,0,0.234,0.351,5.85,0,0,0.228039114,0,0
138,B,41,B,24.54521,55.67745,E,B,D,D,A,B,5,0,39.14352,13.04082,0.3627,0,7.02,0,11.7,0.452044043,0,0.202890024
139,B,41,A,24.543865,55.67367167,E,B,G,D,A,B,5,0,39.18213,7.40493,0.1872,0,25.74,0,1.17,0.289995341,0,0.220858533
140,B,41,B,24.50278167,55.64101667,E,B,G,D,A,B,1,0,39.17628,28.05192,0.56628,0,10.53,0,0,0.145090709,0,0
141,B,41,B,24.54451,55.67542,E,B,G,D,A,B,2,0,39.14469,3.69369,0.351,0,35.1,0,0,0.225106062,0,0
142,A,6,B,24.174225,55.01767333,E,B,G,D,B,B,2,0,22.80096,0,0.468,0.234,12.87,0,0,0.299617824,0,0
143,B,41,B,24.54331833,55.67225833,E,B,A,D,A,B,2,0,39.18213,29.51793,0.3042,0,9.36,0,0,0.128539903,0,0
144,B,18,B,23.84793828,55.36663883,E,B,D,D,B,B,1,0,39.18213,23.73813,0.234,0,8.19,0,0,0.215375932,0,0
145,B,18,A,23.818495,55.44164833,E,B,C,D,B,B,2,0,39.18213,12.27213,1.053,0,23.4,0,0.117,0.057596227,0,0.099399266
146,B,18,A,23.81852167,55.44346167,E,B,A,D,B,B,2,0,39.18213,14.35473,1.1934,0,17.55,0,0.234,0.235495839,0,0.33516227
147,B,18,B,23.81866833,55.44707833,E,B,A,D,B,B,2,0,39.18213,9.34713,0.585,0,19.89,0,4.68,0.208913931,0,0.346756131
148,A,6,B,24.20825167,54.69998333,E,B,C,D,A,B,2,0,32.60907,0,0.117,1.17,5.85,0,0,0.053987014,0,0
149,A,6,A,24.20600667,54.69904667,E,B,E,D,A,B,2,0,32.60907,20.826,1.17,1.17,5.85,0,0,0.290783467,0,0
150,A,6,B,24.46024623,54.33860783,E,B,E,D,A,B,3,0,32.60907,0,0.1755,1.404,7.02,0,0,0.077130075,0,0
151,A,6,B,24.206275,54.70227167,E,B,B,D,A,B,1,0,32.60907,0,0.117,1.17,5.85,0,0,0.288532747,0,0
152,A,6,A,24.20629333,54.702495,E,B,E,D,A,B,1,0,32.526,14.04,0.1755,0.702,11.7,0,0,0.221483005,0,0
153,A,6,B,24.204225,54.70137333,E,B,E,D,A,B,2,0,32.60907,0,0.1287,1.287,8.19,0,0,0.337308163,0,0
154,A,6,B,24.20663,54.70574,E,B,B,D,A,B,2,0,32.60907,0,0.1755,0,23.4,0,0,0.267778291,0,0
155,A,6,B,24.20643833,54.70556333,E,B,C,D,A,B,2,0,32.60907,0,0.117,1.17,5.85,0,0,0.083702841,0,0
156,A,6,A,24.20524333,54.70598,E,B,E,D,A,B,3,0,32.60907,0,0.1404,1.17,5.265,0,3.51,0.202368416,0,0.322864229
157,A,6,B,24.20250667,54.707225,E,B,C,D,A,B,2,0,32.60907,0,0.0936,1.872,5.85,0,0,0.344669815,0,0
158,A,6,A,24.20392,54.70796333,E,B,C,D,A,B,1,0,32.60907,0,0.936,0.936,4.68,0,0,0.357627573,0,0
159,A,6,B,24.20565,54.708795,E,B,E,D,A,B,2,0,32.60907,0,0.117,0,10.53,0,0,0.146857167,0,0
160,A,6,B,24.205575,54.70914333,E,B,C,D,A,B,1,0,32.60907,0,0.936,0.936,10.53,0,0,0.192004498,0,0
161,A,6,A,24.20392167,54.70806333,E,B,B,D,A,B,2,0,32.60907,0,0.117,0.585,19.89,0,0,0,0,0
162,A,6,A,24.2016,54.70948667,E,B,G,D,A,B,2,0,32.60907,0,0.117,0,8.19,0,10.53,0,0,0.375925106
163,B,18,B,23.81836833,55.43956,E,B,C,D,B,B,1,0,39.18213,20.18133,0.2808,0,18.72,0,0,0.356632022,0,0
164,B,22,B,24.62339667,55.612075,E,B,B,D,A,B,4,0,39.13065,8.58195,0.1287,0,9.36,0,2.34,0.070168689,0,0.074112532
165,B,22,B,24.62723667,55.611055,E,A,A,D,A,B,3,0,53.90658,22.71438,0.1872,0.585,4.68,0,0,0.264788873,0,0
166,B,18,B,23.81835833,55.437505,E,B,G,D,B,B,1,0,39.18213,17.89983,0.2223,0,16.38,0,0,0.307008675,0,0
167,B,41,B,24.52737,55.691505,E,B,I,D,A,B,1,0,39.16341,24.83091,0.2925,0,14.04,0,0,0.204016115,0,0
168,A,6,B,24.20995667,55.00247667,E,B,G,D,A,B,4,0,44.4483,10.5183,0,3.51,16.38,0,12.87,0.277097979,0,0.229452229
169,A,6,B,24.16821333,55.02029667,E,B,A,D,B,B,1,0,22.80096,0,0.0585,4.5045,4.68,0,0,0,0,0
170,B,41,B,24.50387667,55.60749167,E,B,G,D,B,B,6,0,39.18096,8.08236,0.6786,2.34,7.02,7.02,14.04,0.227576788,0.227277133,0.295352882
171,A,9,B,24.587845,54.79900167,E,B,B,D,A,B,1,0,32.61726,13.104,0.5031,2.925,9.945,0,6.084,0.165598132,0,0.232558429
172,A,9,B,24.58560333,54.79868333,E,B,E,D,A,B,1,0,32.61726,3.51,0.7722,2.34,21.06,0,4.095,0.342070388,0,0.220877082
173,A,9,B,24.58497833,54.79855667,E,B,B,D,A,B,1,0,32.61726,21.06,0.6201,0.585,8.19,0,1.989,0.310554131,0,0.205161744
174,A,9,A,24.58272667,54.79689833,E,B,B,D,A,B,2,0,32.61726,2.691,0.5616,2.925,17.55,0,8.775,0.155112558,0,0.220237266
175,B,3,B,23.871735,55.34232167,E,B,B,D,B,B,1,0,39.18213,30.76398,0.22815,0,3.51,0,0,0.244310452,0,0
176,A,9,B,24.57989,54.79764,E,B,B,D,A,B,1,0,32.61726,4.68,0.5499,2.925,23.4,0,0,0.120966578,0,0
177,B,18,B,23.82016667,55.44141667,E,B,A,D,B,B,2,0,39.18213,17.64243,0.2457,0,14.04,0,0.234,0.36534407,0,0.242236861
178,B,18,A,23.82108833,55.43883667,E,B,A,D,B,B,2,0,39.17511,12.50496,1.77255,0.2106,19.89,0,0.117,0.29264046,0,0.159045606
179,A,9,A,24.57921,54.79776167,E,B,B,D,A,B,1,0,32.61726,14.04,0.4914,2.925,14.04,0,0,0,0,0
180,C,38,A,23.29754,53.75265,E,B,C,D,A,B,2,0,46.8,4.6332,0.351,0.8658,24.57,0,15.21,0.09039515,0,0.261979692
181,B,41,B,24.498785,55.62021833,E,B,G,D,A,B,1,0,39.18213,32.7249,0.57213,0,3.51,0,0,0.348163686,0,0
182,A,9,B,24.57803833,54.79942667,E,B,G,D,A,B,1,0,32.61726,2.34,0.3159,1.755,28.08,0,0,0.116469942,0,0
183,C,38,A,23.197395,53.763435,E,B,C,D,B,B,3,0,46.8,2.32245,0.43875,1.9188,29.25,0,0,0.250970529,0,0
184,C,38,A,23.252805,53.75748167,E,B,G,D,A,B,3,0,46.8,9.7929,0.1521,0,29.25,0,6.435,0.473068029,0,0.249570366
185,B,18,B,23.7966,55.43518667,E,A,A,D,B,B,2,0,39.18213,26.10738,0.20475,0,12.87,0,0,0.171778333,0,0
186,B,41,B,24.51171,55.631685,E,B,A,D,A,B,7,0,43.4772,15.21,0.1872,0,14.04,12.87,0,0.238138362,0.115098855,0
187,C,38,B,23.33076,53.74812167,E,B,A,D,A,B,1,0,46.8,10.881,0.819,0,35.1,0,0,0.206748194,0,0
188,A,9,B,24.51649667,54.61919667,E,B,B,D,A,B,2,0,27.18846,5.44986,0.66456,0,11.48472,0,8.19,0.306372506,0,0.215175219
189,C,38,B,23.25369667,53.75550333,E,B,E,D,A,B,1,0,46.8,9.1611,0.1989,5.85,23.4,0,8.19,0.025830669,0,0.306974159
190,B,41,B,24.54128667,55.66269333,E,A,A,D,A,B,1,0,39.14352,35.35272,0.2808,0,3.51,0,0,0.183011311,0,0
191,B,3,B,23.89074833,55.38606167,E,B,C,D,B,B,1,0,39.18213,27.29493,0.1872,0,11.7,0,0,0.451313571,0,0
